Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4.7uF 25V X5R,
C10,0805,1,1nF,
"C11, C15, C16, C9",0805,4,0.1uF,
C14,0805,1,C,
C2,0805,1,10uF 16V X5R,
C3,0805,1,"0,22uF",
C4,0805,1,100pF,
C5,0805,1,1uF 25V X7R,
C6,0805,1,2.2uF 10V X7R,
C7,0805,1,10uF,
C8,0805,1,1uF,
D1,D_SOD-123F,1,"PMEG3010ER 30V, 1A",
D2,TSOT-23,1,ESDCAN01-2BLY,
D3,SOT-23-6_Handsoldering,1,ESDA19SC6,
"D4, D5",D_SMB_Handsoldering,2,S2A 50V 1.5A,
"D6, D7, D8, D9",SOT-23-5,4,ESDA5V3SC5,
"F2, F3",0603,2,Fuse,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Power,
J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,FW-btn,
J11,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,EX-btn,
J12,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,1,Programheader,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW,
J3,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,28BYJ-48,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Backlight,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,DCF77,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,LDR,
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Indicator,
L1,L_Bourns_SRN6045TA,1,SRN6045HA,
R1,0805,1,82k,
"R10, R16, R8, R9",0805,4,10k,
R12,0805,1,47k,
"R13, R14, R4, R5, R6, R7",0805,6,R,
R2,0805,1,15k,
R3,0805,1,500,
RESET,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,Reset,
U1,DIP-20_W7.62mm,1,MSP430G2553IN20,
U2,SOT-23-6_Handsoldering,1,~,
U3,SOT-89-3_Handsoldering,1,AP2205,
U4,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC00,
U5,DIP-16_W7.62mm_Socket_LongPads,1,ULQ2003A,
Y1,Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal,1,ECS-.327-6-13X,
